Heart Rate,Label
87,S
86,S
85,S
94,S
96,S
97,S
98,S
98,S
99,S
98,S
97,S
95,S
94,S
93,S
87,S
85,S
83,S
85,S
87,S
88,S
89,S
88,S
87,S
89,S
88,S
88,S
89,S
90,S
89,S
88,S
89,S
89,S
90,S
90,S
89,S
90,S
89,S
87,S
89,S
93,S
94,S
90,S
90,S
89,S
90,S
90,S
89,S
90,S
89,S
88,S
89,S
90,S
92,S
89,S
86,S
87,S
88,S
94,S
94,S
94,S
94,S
93,S
87,S
90,S
93,S
94,S
99,S
71,NS
71,NS
63,NS
63,NS
73,NS
63,NS
69,NS
67,NS
61,NS
62,NS
66,NS
63,NS
69,NS
67,NS
66,NS
65,NS
64,NS
66,NS
67,NS
68,NS
68,NS
69,NS
68,NS
67,NS
65,NS
64,NS
63,NS
67,NS
67,NS
67,NS
57,NS
52,NS
52,NS
71,NS
72,NS
71,NS
70,NS
68,NS
66,NS
68,NS
67,NS
63,NS
62,NS
61,NS
63,NS
62,NS
65,NS
67,NS
69,NS
70,NS
71,NS
71,NS
72,NS
71,NS
71,NS
70,NS
71,NS
53,NS
55,NS
55,NS
54,NS
53,NS
52,NS
53,NS
56,NS
66,NS
62,NS
68,NS
69,NS
68,NS
67,NS
66,NS
66,NS
66,NS
57,NS
54,NS
52,NS
49,NS
50,NS
48,NS
47,NS
47,NS
48,NS
51,NS
53,NS
55,NS
56,NS
57,NS
56,NS
56,NS
57,NS
59,NS
63,NS
67,NS
68,NS
70,NS
71,NS
66,NS
67,NS
70,NS
80,NS
77,NS
73,NS
76,NS
65,NS
64,NS
63,NS
62,NS
69,NS
62,NS
61,NS
64,NS
65,NS
65,NS
65,NS
66,NS
67,NS
66,NS
67,NS
64,NS
66,NS
64,NS
62,NS
68,NS
69,NS
68,NS
69,NS
70,NS
71,NS
72,NS
74,NS
75,NS
73,NS
71,NS
68,NS
58,NS
57,NS
56,NS
55,NS
55,NS
55,NS
54,NS
55,NS
56,NS
58,NS
57,NS
56,NS
57,NS
56,NS
56,NS
56,NS
57,NS
58,NS
59,NS
63,NS
66,NS
67,NS
68,NS
67,NS
68,NS
66,NS
64,NS
62,NS
61,NS
61,NS
61,NS
62,NS
63,NS
62,NS
61,NS
64,NS
68,NS
69,NS
68,NS
67,NS
68,NS
68,NS
68,NS
67,NS
66,NS
64,NS
60,NS
55,NS
51,NS
52,NS
54,NS
56,NS
58,NS
61,NS
62,NS
63,NS
69,NS
74,NS
75,NS
76,NS
67,NS
66,NS
65,NS
63,NS
62,NS
64,NS
65,NS
66,NS
65,NS
67,NS
68,NS
69,NS
70,NS
70,NS
70,NS
57,NS
59,NS
51,NS
52,NS
53,NS
54,NS
56,NS
57,NS
58,NS
57,NS
58,NS
57,NS
58,NS
59,NS
60,NS
65,NS
66,NS
65,NS
62,NS
63,NS
66,NS
70,NS
71,NS
72,NS
73,NS
72,NS
73,NS
74,NS
76,NS
74,NS
70,NS
71,NS
73,NS
74,NS
72,NS
70,NS
68,NS
66,NS
65,NS
64,NS
65,NS
66,NS
67,NS
68,NS
62,NS
61,NS
58,NS
53,NS
52,NS
53,NS
54,NS
55,NS
56,NS
56,NS
57,NS
58,NS
59,NS
58,NS
56,NS
56,NS
62,NS
64,NS
65,NS
66,NS
67,NS
68,NS
67,NS
66,NS
67,NS
68,NS
69,NS
68,NS
60,NS
79,NS
74,NS
71,NS
67,NS
66,NS
63,NS
57,NS
58,NS
59,NS
58,NS
57,NS
52,NS
51,NS
51,NS
51,NS
52,NS
53,NS
54,NS
53,NS
54,NS
56,NS
54,NS
54,NS
53,NS
52,NS
53,NS
54,NS
55,NS
56,NS
76,S
90,S
90,S
89,S
90,S
89,S
90,S
89,S
88,S
88,S
87,S
86,S
84,S
83,S
84,S
84,S
84,S
85,S
84,S
82,S
74,S
84,S
89,S
83,S
98,S
97,S
99,S
101,S
107,S
111,S
112,S
113,S
113,S
80,S
81,S
82,S
83,S
84,S
91,S
91,S
88,S
92,S
92,S
90,S
85,S
75,S
50,NS
50,NS
63,NS
64,NS
63,NS
60,NS
67,NS
68,NS
60,NS
64,NS
66,NS
67,NS
69,NS
60,NS
59,NS
59,NS
58,NS
57,NS
56,NS
56,NS
55,NS
55,NS
54,NS
53,NS
52,NS
51,NS
68,NS
58,NS
68,NS
73,NS
86,S
85,S
85,S
86,S
85,S
86,S
85,S
86,S
84,S
85,S
87,S
89,S
88,S
89,S
89,S
88,S
87,S
86,S
85,S
85,S
84,S
85,S
86,S
87,S
88,S
89,S
88,S
89,S
88,S
89,S
90,S
89,S
89,S
90,S
89,S
90,S
89,S
90,S
89,S
89,S
88,S
88,S
89,S
87,S
86,S
85,S
84,S
84,S
85,S
86,S
88,S
88,S
88,S
89,S
89,S
88,S
89,S
88,S
89,S
88,S
89,S
88,S
89,S
89,S
90,S
90,S
89,S
89,S
88,S
89,S
88,S
85,S
84,S
84,S
85,S
85,S
85,S
84,S
83,S
84,S
85,S
85,S
85,S
86,S
85,S
85,S
85,S
86,S
85,S
86,S
85,S
87,S
88,S
89,S
88,S
88,S
87,S
88,S
89,S
88,S
89,S
87,S
88,S
89,S
88,S
89,S
88,S
89,S
88,S
87,S
65,NS
56,NS
55,NS
56,NS
57,NS
58,NS
58,NS
57,NS
56,NS
56,NS
57,NS
58,NS
61,NS
64,NS
66,NS
67,NS
54,NS
55,NS
55,NS
54,NS
53,NS
52,NS
51,NS
50,NS
49,NS
68,S
70,S
71,S
72,S
73,S
75,S
76,S
75,S
75,S
74,S
73,S
74,S
74,S
75,S
76,S
76,S
71,S
72,S
76,S
75,S
79,S
76,S
75,S
75,S
73,S
73,S
73,S
73,S
71,S
74,S
75,S
78,S
73,S
72,S
88,S
84,S
80,S
81,S
81,S
81,S
82,S
83,S
88,S
87,S
79,S
85,S
82,S
85,S
84,S
86,S
88,S
88,S
89,S
90,S
91,S
93,S
94,S
95,S
96,S
97,S
89,S
83,S
87,S
85,S
78,S
75,S
70,S
73,S
76,S
77,S
79,NS
71,NS
68,NS
72,NS
73,NS
74,NS
73,NS
74,NS
75,NS
76,NS
77,NS
73,NS
72,NS
71,NS
75,NS
